Year,Value,Units,Series
2016,98.55,Pourcentage (%),Évolution à long terme (LTE)
2017,99.14,Pourcentage (%),Évolution à long terme (LTE)
2018,99.3,Pourcentage (%),Évolution à long terme (LTE)
2019,99.48,Pourcentage (%),Évolution à long terme (LTE)
2020,99.53,Pourcentage (%),Évolution à long terme (LTE)
2021,99.42,Pourcentage (%),Évolution à long terme (LTE)
2022,99.47,Pourcentage (%),Évolution à long terme (LTE)
2016,83.35,Pourcentage (%),Évolution à long terme - A (LTE-A)
2017,92.43,Pourcentage (%),Évolution à long terme - A (LTE-A)
2018,94.9,Pourcentage (%),Évolution à long terme - A (LTE-A)
2019,95.86,Pourcentage (%),Évolution à long terme - A (LTE-A)
2020,97.45,Pourcentage (%),Évolution à long terme - A (LTE-A)
2021,97.82,Pourcentage (%),Évolution à long terme - A (LTE-A)
2022,97.8,Pourcentage (%),Évolution à long terme - A (LTE-A)
2020,53.27,Pourcentage (%),5G
2021,87.78,Pourcentage (%),5G
2022,91.4,Pourcentage (%),5G
2016,99.47,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2017,99.49,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2018,99.48,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2019,99.53,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2020,99.45,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2021,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2022,99.57,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
