Year,Series,Units,Basic services,Sources of waste for disposal,Proficiency level,Sex,Geography,GeoCode,Value
2000,Access to basic drinking water services,Percentage (%),,,,,,,98.17
2001,Access to basic drinking water services,Percentage (%),,,,,,,98.18
2002,Access to basic drinking water services,Percentage (%),,,,,,,98.18
2003,Access to basic drinking water services,Percentage (%),,,,,,,98.18
2004,Access to basic drinking water services,Percentage (%),,,,,,,98.18
2005,Access to basic drinking water services,Percentage (%),,,,,,,98.24
2006,Access to basic drinking water services,Percentage (%),,,,,,,98.3
2007,Access to basic drinking water services,Percentage (%),,,,,,,98.36
2008,Access to basic drinking water services,Percentage (%),,,,,,,98.42
2009,Access to basic drinking water services,Percentage (%),,,,,,,98.48
2010,Access to basic drinking water services,Percentage (%),,,,,,,98.54
2011,Access to basic drinking water services,Percentage (%),,,,,,,98.6
2012,Access to basic drinking water services,Percentage (%),,,,,,,98.65
2013,Access to basic drinking water services,Percentage (%),,,,,,,98.71
2014,Access to basic drinking water services,Percentage (%),,,,,,,98.76
2015,Access to basic drinking water services,Percentage (%),,,,,,,98.82
2016,Access to basic drinking water services,Percentage (%),,,,,,,98.87
2017,Access to basic drinking water services,Percentage (%),,,,,,,98.93
2018,Access to basic drinking water services,Percentage (%),,,,,,,98.98
2019,Access to basic drinking water services,Percentage (%),,,,,,,99.04
2020,Access to basic drinking water services,Percentage (%),,,,,,,99.04
2021,Access to basic drinking water services,Percentage (%),,,,,,,99.04
2022,Access to basic drinking water services,Percentage (%),,,,,,,99.04
2000,Access to basic sanitation services,Percentage (%),,,,,,,77.4
2001,Access to basic sanitation services,Percentage (%),,,,,,,77.4
2002,Access to basic sanitation services,Percentage (%),,,,,,,77.4
2003,Access to basic sanitation services,Percentage (%),,,,,,,77.8
2004,Access to basic sanitation services,Percentage (%),,,,,,,78.3
2005,Access to basic sanitation services,Percentage (%),,,,,,,78.7
2006,Access to basic sanitation services,Percentage (%),,,,,,,79.2
2007,Access to basic sanitation services,Percentage (%),,,,,,,79.6
2008,Access to basic sanitation services,Percentage (%),,,,,,,79.9
2009,Access to basic sanitation services,Percentage (%),,,,,,,80.3
2010,Access to basic sanitation services,Percentage (%),,,,,,,80.7
2011,Access to basic sanitation services,Percentage (%),,,,,,,81.1
2012,Access to basic sanitation services,Percentage (%),,,,,,,81.4
2013,Access to basic sanitation services,Percentage (%),,,,,,,81.8
2014,Access to basic sanitation services,Percentage (%),,,,,,,82.2
2015,Access to basic sanitation services,Percentage (%),,,,,,,82.6
2016,Access to basic sanitation services,Percentage (%),,,,,,,82.9
2017,Access to basic sanitation services,Percentage (%),,,,,,,83.3
2018,Access to basic sanitation services,Percentage (%),,,,,,,83.7
2019,Access to basic sanitation services,Percentage (%),,,,,,,84.1
2020,Access to basic sanitation services,Percentage (%),,,,,,,84.0
2021,Access to basic sanitation services,Percentage (%),,,,,,,83.9
2022,Access to basic sanitation services,Percentage (%),,,,,,,83.9
2015,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2016,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2017,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2018,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2019,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2020,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2021,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2022,Access to clean fuels and technology,Percentage (%),,,,,,,100.0
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,,,97.7
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Newfoundland and Labrador,10,96.1
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Prince Edward Island,11,99.9
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Nova Scotia,12,97.7
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,New Brunswick,13,97.1
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Quebec,24,98.0
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Ontario,35,98.8
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Manitoba,46,97.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Saskatchewan,47,98.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Alberta,48,98.0
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,British Columbia,59,95.0
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Yukon,60,88.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Northwest Territories,61,91.8
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,Nunavut,62,82.2
2002,Access to basic waste collection services,Tonnes,,,,,,,24081371.0
2004,Access to basic waste collection services,Tonnes,,,,,,,25226766.0
2006,Access to basic waste collection services,Tonnes,,,,,,,26417011.0
2008,Access to basic waste collection services,Tonnes,,,,,,,25926476.0
2010,Access to basic waste collection services,Tonnes,,,,,,,24952415.0
2012,Access to basic waste collection services,Tonnes,,,,,,,24681474.0
2014,Access to basic waste collection services,Tonnes,,,,,,,24766650.0
2016,Access to basic waste collection services,Tonnes,,,,,,,24940747.0
2018,Access to basic waste collection services,Tonnes,,,,,,,25733021.0
2020,Access to basic waste collection services,Tonnes,,,,,,,26107720.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,8446766.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,15634606.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Newfoundland and Labrador,10,376594.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,Newfoundland and Labrador,,216218.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,Newfoundland and Labrador,,160376.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Prince Edward Island,11,
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,Prince Edward Island,,
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,Prince Edward Island,,
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Nova Scotia,12,389194.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,Nova Scotia,,169649.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,Nova Scotia,,219546.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,New Brunswick,13,413606.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,New Brunswick,,203506.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,New Brunswick,,210100.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Quebec,24,5846459.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,Quebec,,1875235.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,Quebec,,3971225.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Ontario,35,9645633.0
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,Ontario,,3438408.0
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,Ontario,,6207225.0
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,Manitoba,46,896556.0
