Year,Series,Units,Value
1990,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1443
1991,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1383
1992,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1322
1993,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1266
1994,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.118
1995,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1135
1996,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1096
1997,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1055
1998,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1014
1999,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0967
2000,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0917
2001,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0873
2002,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.083
2003,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0772
2004,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0717
2005,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0663
2006,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0614
2007,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.053
2008,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0477
2009,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0426
2010,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0379
2011,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0334
2012,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0288
2013,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.024
2014,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.018
2015,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0117
2016,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0054
2017,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9992
2018,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9934
2019,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9878
2020,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9821
2021,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9766
2022,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9711
1990,Superficie forestière,Hectares,368883000.0
1991,Superficie forestière,Hectares,368829000.0
1992,Superficie forestière,Hectares,368774000.0
1993,Superficie forestière,Hectares,368724000.0
1994,Superficie forestière,Hectares,368647000.0
1995,Superficie forestière,Hectares,368607000.0
1996,Superficie forestière,Hectares,368572000.0
1997,Superficie forestière,Hectares,368535000.0
1998,Superficie forestière,Hectares,368498000.0
1999,Superficie forestière,Hectares,368456000.0
2000,Superficie forestière,Hectares,368411000.0
2001,Superficie forestière,Hectares,368372000.0
2002,Superficie forestière,Hectares,368333000.0
2003,Superficie forestière,Hectares,368281000.0
2004,Superficie forestière,Hectares,368232000.0
2005,Superficie forestière,Hectares,368184000.0
2006,Superficie forestière,Hectares,368140000.0
2007,Superficie forestière,Hectares,368064000.0
2008,Superficie forestière,Hectares,368017000.0
2009,Superficie forestière,Hectares,367971000.0
2010,Superficie forestière,Hectares,367929000.0
2011,Superficie forestière,Hectares,367889000.0
2012,Superficie forestière,Hectares,367847000.0
2013,Superficie forestière,Hectares,367804000.0
2014,Superficie forestière,Hectares,367751000.0
2015,Superficie forestière,Hectares,367694000.0
2016,Superficie forestière,Hectares,367638000.0
2017,Superficie forestière,Hectares,367582000.0
2018,Superficie forestière,Hectares,367530000.0
2019,Superficie forestière,Hectares,367480000.0
2020,Superficie forestière,Hectares,367429000.0
2021,Superficie forestière,Hectares,367379000.0
2022,Superficie forestière,Hectares,367330000.0
1990,Superficie terrestre,Hectares,896559000.0
1991,Superficie terrestre,Hectares,896559000.0
1992,Superficie terrestre,Hectares,896559000.0
1993,Superficie terrestre,Hectares,896559000.0
1994,Superficie terrestre,Hectares,896559000.0
1995,Superficie terrestre,Hectares,896559000.0
1996,Superficie terrestre,Hectares,896559000.0
1997,Superficie terrestre,Hectares,896559000.0
1998,Superficie terrestre,Hectares,896559000.0
1999,Superficie terrestre,Hectares,896559000.0
2000,Superficie terrestre,Hectares,896559000.0
2001,Superficie terrestre,Hectares,896559000.0
2002,Superficie terrestre,Hectares,896559000.0
2003,Superficie terrestre,Hectares,896559000.0
2004,Superficie terrestre,Hectares,896559000.0
2005,Superficie terrestre,Hectares,896559000.0
2006,Superficie terrestre,Hectares,896559000.0
2007,Superficie terrestre,Hectares,896559000.0
2008,Superficie terrestre,Hectares,896559000.0
2009,Superficie terrestre,Hectares,896559000.0
2010,Superficie terrestre,Hectares,896559000.0
2011,Superficie terrestre,Hectares,896559000.0
2012,Superficie terrestre,Hectares,896559000.0
2013,Superficie terrestre,Hectares,896559000.0
2014,Superficie terrestre,Hectares,896559000.0
2015,Superficie terrestre,Hectares,896559000.0
2016,Superficie terrestre,Hectares,896559000.0
2017,Superficie terrestre,Hectares,896559000.0
2018,Superficie terrestre,Hectares,896559000.0
2019,Superficie terrestre,Hectares,896559000.0
2020,Superficie terrestre,Hectares,896559000.0
2021,Superficie terrestre,Hectares,896559000.0
2022,Superficie terrestre,Hectares,896559000.0
